municipio,ipdm,rendimento_domiciliar_per_capita,taxa_ensino_superior_completo,taxa_alfabetizacao
São Paulo,577,2713.36,27.7,0.97417
Guarulhos,527,1643.73,18.27,0.96778
Campinas,587,2678.6,27.5,0.97587
São Bernardo do Campo,609,2229.41,27.02,0.9765
São José dos Campos,604,2276.81,26.22,0.97862
Santo André,578,2460.93,28.98,0.97993
Osasco,553,1951.14,22.94,0.97191
Sorocaba,584,2165.31,23.99,0.97924
Ribeirão Preto,566,2507.29,25.87,0.9795
Barueri,629,2412.35,21.98,0.97389
Jundiaí,641,2774.36,29.54,0.97982
São José do Rio Preto,590,2410.09,25.18,0.97837
Mogi das Cruzes,556,1851.39,22.79,0.97066
Santos,598,3237.52,36.68,0.98398
Piracicaba,607,2145.67,22.12,0.97624
Diadema,542,1522.03,15.14,0.96775
Bauru,560,2210.1,23.81,0.97901
Mauá,544,1478.74,14.97,0.96739
São Caetano do Sul,674,3884.58,45.2,0.9884
Suzano,532,1407.5,14.36,0.96614
Indaiatuba,648,2601.91,24.19,0.97878
Taboão da Serra,517,1740.2,19.64,0.97229
Cotia,537,2275.73,24.39,0.96941
Praia Grande,531,1795.56,17.6,0.97302
São Carlos,601,2281.26,24.9,0.97504
Franca,585,1734.79,17.95,0.97877
Carapicuíba,495,1432.95,14.67,0.96621
Taubaté,543,1941.51,24.11,0.97815
Itaquaquecetuba,473,1101.16,8.47,0.95301
Americana,610,2358.27,24.31,0.98332
Limeira,588,1932.42,17.7,0.97203
Jacareí,551,1799.5,21.07,0.97296
Araraquara,591,2128.11,23.57,0.97617
Guarujá,511,1416.67,12.92,0.96153
Hortolândia,604,1619.28,14.48,0.96926
Embu das Artes,524,1249.69,11.6,0.95753
Presidente Prudente,563,2104.17,24.57,0.97545
Marília,571,2024.26,23.26,0.97371
Araçatuba,591,2088.68,21.83,0.97399
São Vicente,472,1451.91,13.06,0.96765
Bragança Paulista,560,1941.5,20.05,0.9728
Santana de Parnaíba,628,3465.07,30.24,0.97013
Pindamonhangaba,551,1610.98,19.5,0.97419
Sumaré,570,1586.3,13.22,0.96499
Rio Claro,569,2056.67,22.05,0.97435
Itapevi,502,1138.47,9.36,0.96305
Itapecerica da Serra,500,1248.65,12.76,0.95515
Itapetininga,549,1671.4,17.17,0.96875
Atibaia,594,2283.78,23.88,0.96546
Jaú,570,1751.62,17.9,0.9692
Valinhos,614,3127.28,31.58,0.98046
Itu,568,1874.09,18.3,0.96513
Sertãozinho,576,1797.64,17.4,0.96136
Ferraz de Vasconcelos,483,1201.71,10.85,0.96146
Francisco Morato,445,1035.25,6.4,0.94876
Santa Bárbara d'Oeste,590,1877.28,15.31,0.97409
Botucatu,568,1991.29,24.28,0.97431
Franco da Rocha,492,1397.55,11.15,0.95958
Catanduva,578,1898.84,21.42,0.96804
Caraguatatuba,540,1578.4,17.79,0.96487
Ribeirão Pires,578,1660.3,19.57,0.97179
Itapeva,519,1443.07,15.08,0.95585
Cubatão,561,1246.76,10.07,0.95453
Poá,514,1476.59,15.96,0.97354
Ourinhos,551,1834.77,20.0,0.96765
Guaratinguetá,546,1872.42,21.29,0.97673
Araras,596,1910.5,20.38,0.96808
Paulínia,647,2680.07,27.34,0.97814
Assis,552,1997.74,24.68,0.97381
Tatuí,510,1558.09,15.64,0.97121
Birigui,591,1732.98,18.48,0.96713
Jandira,526,1628.78,15.77,0.96945
Itatiba,605,2282.1,21.44,0.97407
Caieiras,538,1668.47,17.09,0.97252
São Roque,543,2014.74,21.21,0.96293
Barretos,577,1844.44,19.91,0.97623
São Sebastião,609,1607.55,15.22,0.95617
Arujá,563,1982.83,18.78,0.96453
Mogi Guaçu,558,1747.34,16.8,0.9719
Caçapava,540,1632.59,17.13,0.97071
Cruzeiro,503,1498.46,18.72,0.97744
Avaré,512,1769.85,18.13,0.96576
São João da Boa Vista,590,1961.78,22.58,0.97272
Amparo,591,1986.75,19.23,0.96776
Vinhedo,678,3247.77,30.95,0.9801
Salto,582,1902.87,19.51,0.97406
Lorena,497,1673.5,20.19,0.9724
Ubatuba,533,1615.62,16.41,0.9638
Cajamar,579,1728.39,18.93,0.9653
Leme,544,1577.91,14.85,0.95385
Registro,518,1533.08,15.65,0.96367
Itanhaém,496,1374.2,14.2,0.9592
Votuporanga,594,1789.36,20.49,0.96696
Matão,605,1700.46,16.4,0.9626
Mococa,547,1693.15,15.78,0.96425
Fernandópolis,583,1853.8,23.15,0.96216
Bebedouro,572,1734.11,21.37,0.97305
Batatais,546,1826.35,17.19,0.96309
Campo Limpo Paulista,516,1564.93,15.42,0.96768
Peruíbe,494,1407.11,16.25,0.95994
Tupã,557,1848.49,20.67,0.95925
Embu-Guaçu,499,1386.48,13.64,0.95435
Votorantim,529,1837.4,18.82,0.9765
Mairiporã,521,1825.67,18.61,0.95819
Mogi Mirim,597,2026.17,22.22,0.96952
Jaboticabal,566,1948.36,21.73,0.96569
Pirassununga,556,2014.47,23.02,0.96916
Orlândia,531,1737.14,16.81,0.96453
Penápolis,556,1737.74,18.4,0.96814
Nova Odessa,613,1934.32,18.06,0.97867
Ibiúna,516,1324.95,11.27,0.93938
Cosmópolis,548,1614.71,13.19,0.96635
Lins,549,1864.07,22.46,0.97012
São Joaquim da Barra,569,1577.23,17.22,0.96531
Mongaguá,442,1287.82,11.26,0.96169
Andradina,547,1774.02,18.56,0.96258
Monte Mor,538,1367.63,10.7,0.95575
Capão Bonito,515,1240.46,10.01,0.94205
Lençóis Paulista,596,1795.57,16.92,0.96558
Vargem Grande Paulista,563,1929.62,21.47,0.96775
Itupeva,613,2035.47,19.38,0.97414
Mirassol,604,2049.55,21.24,0.9718
São José do Rio Pardo,529,1547.43,15.72,0.96904
Várzea Paulista,542,1446.57,10.39,0.96529
Olímpia,607,1674.78,16.73,0.96546
Capivari,543,1570.15,12.43,0.96909
Santa Cruz do Rio Pardo,570,1738.78,18.66,0.96511
Piedade,522,1446.28,10.49,0.9542
Ibitinga,515,1437.98,8.79,0.96452
Bertioga,553,1511.97,12.17,0.96457
Boituva,587,1819.01,19.86,0.96978
Jaguariúna,649,2045.01,20.96,0.97501
Jales,620,2077.24,24.35,0.96272
Itararé,502,1297.43,12.87,0.95613
Santa Isabel,524,1412.6,14.42,0.94566
Itapira,580,1823.28,15.82,0.96409
Novo Horizonte,555,1693.96,13.83,0.94656
Ituverava,516,1788.4,17.71,0.95443
Presidente Venceslau,568,1954.88,19.15,0.95286
Presidente Epitácio,558,1428.42,14.99,0.95161
Paraguaçu Paulista,513,1546.02,16.62,0.95392
Barra Bonita,548,1853.96,18.38,0.96053
Taquaritinga,470,1620.23,15.6,0.95015
Dracena,565,1886.73,21.52,0.96528
Rio Grande da Serra,556,1233.69,10.38,0.95794
Artur Nogueira,559,1649.8,13.51,0.95411
Mairinque,533,1607.36,14.17,0.96149
Porto Feliz,595,1626.03,12.48,0.96446
Garça,502,1612.63,17.89,0.95895
Campos do Jordão,578,1626.97,13.16,0.96462
José Bonifácio,530,1697.31,16.14,0.95958
Iguape,480,1336.34,12.69,0.94179
Tietê,577,2011.6,20.0,0.97547
Monte Alto,563,1861.15,17.36,0.96691
Osvaldo Cruz,527,1773.28,18.47,0.96302
Porto Ferreira,519,1719.41,15.4,0.96156
Serrana,504,1283.46,9.08,0.95532
Cerquilho,607,1839.05,16.78,0.9768
Guaíra,545,1685.85,14.85,0.96069
Espírito Santo do Pinhal,570,1838.17,18.43,0.96015
Bariri,558,1755.66,17.59,0.96134
Ilha Solteira,573,2147.45,22.76,0.96627
Cabreúva,584,1480.46,10.88,0.96303
Pontal,519,1384.14,9.69,0.94144
Ibaté,560,1285.02,9.29,0.95078
Guariba,513,1320.05,9.89,0.94048
Cachoeira Paulista,469,1383.47,16.51,0.96491
Piraju,557,1659.91,19.53,0.96698
Cândido Mota,555,1531.32,15.82,0.95314
Juquitiba,491,1076.35,10.02,0.92182
São Pedro,558,1747.04,18.09,0.96473
Salto de Pirapora,556,1536.7,11.78,0.96647
Jardinópolis,539,1536.17,12.91,0.96111
São Manuel,523,1448.66,13.51,0.95439
Fartura,590,1482.13,14.44,0.95361
Descalvado,596,1726.15,17.45,0.96189
Promissão,534,1506.74,16.07,0.96374
Palmital,553,1582.67,16.95,0.95999
Itápolis,581,1675.41,16.04,0.9515
Pederneiras,550,1528.3,13.8,0.9539
Santa Rita do Passa Quatro,529,1753.02,18.84,0.96476
Apiaí,493,1148.15,10.88,0.94006
Guararapes,570,1575.63,15.52,0.95219
Socorro,569,1787.74,16.89,0.95489
Adamantina,565,1868.26,21.98,0.96492
