municipio,nota_ciencias_natureza,nota_ciencias_humanas,nota_linguagens_codigos,nota_matematica,nota_redacao,media_notas_objetivas,cat_adm,dep_adm,cat_esc_priv
Itapecerica da Serra,447.4,591.2,586.9,538.3,480.0,541.0,Privada,Privada,Particular
Osasco,408.1,547.7,518.9,591.4,840.0,516.5,Privada,Privada,Filantrópica
Sorocaba,592.3,663.2,617.8,786.1,820.0,664.8,Privada,Privada,Particular
Fernão,545.5,542.0,544.7,451.4,560.0,520.9,Pública,Estadual,Não Informado
Piracicaba,624.9,547.5,599.6,699.7,780.0,617.9,Privada,Privada,Particular
São Caetano do Sul,452.3,446.0,546.3,404.0,460.0,462.2,Pública,Estadual,Não Informado
Jaboticabal,530.2,584.4,558.3,547.0,840.0,555.0,Pública,Estadual,Não Informado
Caçapava,525.9,569.6,553.1,645.1,820.0,573.4,Pública,Estadual,Não Informado
São Paulo,460.8,581.3,570.4,494.3,680.0,526.7,Pública,Estadual,Não Informado
Araraquara,455.6,517.9,473.2,442.8,580.0,472.4,Pública,Estadual,Não Informado
São Paulo,575.8,636.1,581.1,703.1,920.0,624.0,Pública,Estadual,Não Informado
Osasco,383.8,489.1,513.5,462.6,760.0,462.2,Pública,Estadual,Não Informado
São Sebastião,452.0,390.4,340.0,404.3,440.0,396.7,Pública,Estadual,Não Informado
Osasco,480.8,511.3,554.9,506.6,640.0,513.4,Pública,Estadual,Não Informado
Taboão da Serra,411.9,458.0,541.4,571.7,540.0,495.8,Pública,Estadual,Não Informado
Santana de Parnaíba,421.6,495.3,469.7,442.0,400.0,457.2,Pública,Municipal,Não Informado
Barueri,462.7,508.7,524.7,551.4,740.0,511.9,Pública,Municipal,Não Informado
Santana de Parnaíba,527.8,574.0,604.6,655.5,600.0,590.5,Pública,Estadual,Não Informado
Ribeirão Preto,512.9,562.3,565.3,484.9,820.0,531.3,Privada,Privada,Particular
Pacaembu,453.9,356.2,363.2,460.7,420.0,408.5,Pública,Estadual,Não Informado
Cravinhos,448.0,320.2,363.4,396.6,620.0,382.0,Pública,Estadual,Não Informado
São Paulo,529.9,524.5,498.3,391.9,760.0,486.2,Privada,Privada,Particular
São Vicente,656.6,591.6,593.5,702.4,900.0,636.0,Privada,Privada,Particular
São Paulo,574.4,377.7,482.1,491.4,420.0,481.4,Pública,Estadual,Não Informado
São Vicente,483.8,475.1,406.9,467.2,520.0,458.3,Pública,Estadual,Não Informado
Urânia,493.9,538.3,535.0,505.4,440.0,518.2,Pública,Estadual,Não Informado
Itaporanga,561.0,460.6,570.0,461.0,480.0,513.2,Pública,Estadual,Não Informado
São Paulo,507.5,553.6,563.3,595.0,620.0,554.8,Pública,Estadual,Não Informado
Sertãozinho,633.4,682.9,646.3,765.8,860.0,682.1,Privada,Privada,Particular
Tatuí,466.1,503.9,557.3,526.7,740.0,513.5,Privada,Privada,Particular
Mogi das Cruzes,507.6,392.0,498.2,385.7,400.0,445.9,Pública,Estadual,Não Informado
Piracicaba,594.0,580.1,572.8,647.4,920.0,598.6,Privada,Privada,Particular
Piracicaba,455.1,489.1,494.2,432.5,460.0,467.7,Privada,Privada,Particular
Araraquara,436.3,510.1,513.4,387.0,620.0,461.7,Pública,Estadual,Não Informado
Birigui,526.9,589.1,601.2,684.4,680.0,600.4,Privada,Privada,Particular
São Paulo,380.9,480.4,509.0,478.5,600.0,462.2,Privada,Privada,Filantrópica
São Vicente,466.7,543.3,561.7,732.7,780.0,576.1,Pública,Estadual,Não Informado
Taboão da Serra,479.9,520.9,562.5,504.2,760.0,516.9,Pública,Estadual,Não Informado
Campos do Jordão,516.9,398.0,472.5,452.5,600.0,460.0,Privada,Privada,Particular
Campinas,690.8,770.3,679.7,834.4,900.0,743.8,Privada,Privada,Particular
Ribeirão Preto,520.9,575.6,556.9,500.3,740.0,538.4,Pública,Estadual,Não Informado
Castilho,371.9,491.1,411.4,554.3,480.0,457.2,Pública,Estadual,Não Informado
São Paulo,399.5,590.7,565.3,629.5,600.0,546.2,Pública,Estadual,Não Informado
