municipio,media_notas,total_participantes,desvio_notas,ipdm,rendimento_domiciliar_per_capita,taxa_ensino_superior_completo,taxa_alfabetizacao
São Paulo,535.3,55351,74.7,577,2713.36,27.7,0.974
Guarulhos,520.4,6145,67.5,527,1643.73,18.27,0.968
Campinas,550.6,5403,77.2,587,2678.6,27.5,0.976
São Bernardo do Campo,543.4,4967,72.2,609,2229.41,27.02,0.976
São José dos Campos,556.4,4231,77.8,604,2276.81,26.22,0.979
Santo André,540.5,4103,72.6,578,2460.93,28.98,0.98
Osasco,524.2,4077,69.1,553,1951.14,22.94,0.972
Sorocaba,540.8,3891,71.2,584,2165.31,23.99,0.979
Ribeirão Preto,553.6,3473,77.5,566,2507.29,25.87,0.98
Barueri,528.6,2839,65.8,629,2412.35,21.98,0.974
Jundiaí,550.4,2717,72.5,641,2774.36,29.54,0.98
São José do Rio Preto,548.5,2416,74.0,590,2410.09,25.18,0.978
Mogi das Cruzes,531.7,2414,72.1,556,1851.39,22.79,0.971
Santos,540.7,2412,72.9,598,3237.52,36.68,0.984
Piracicaba,547.4,2064,72.3,607,2145.67,22.12,0.976
Diadema,513.6,1883,61.4,542,1522.03,15.14,0.968
Bauru,543.8,1788,73.1,560,2210.1,23.81,0.979
Mauá,512.1,1760,61.5,544,1478.74,14.97,0.967
São Caetano do Sul,546.1,1745,66.5,674,3884.58,45.2,0.988
Suzano,522.6,1686,67.3,532,1407.5,14.36,0.966
Indaiatuba,537.7,1659,70.9,648,2601.91,24.19,0.979
Taboão da Serra,515.1,1632,63.0,517,1740.2,19.64,0.972
Cotia,528.6,1588,70.4,537,2275.73,24.39,0.969
Praia Grande,520.3,1580,62.6,531,1795.56,17.6,0.973
São Carlos,551.0,1553,74.7,601,2281.26,24.9,0.975
Franca,539.9,1547,69.6,585,1734.79,17.95,0.979
Carapicuíba,502.0,1541,57.6,495,1432.95,14.67,0.966
Taubaté,545.2,1505,72.1,543,1941.51,24.11,0.978
Itaquaquecetuba,498.3,1414,58.6,473,1101.16,8.47,0.953
Americana,547.4,1385,69.1,610,2358.27,24.31,0.983
Limeira,554.7,1365,69.5,588,1932.42,17.7,0.972
Jacareí,528.8,1296,69.2,551,1799.5,21.07,0.973
Araraquara,541.8,1257,71.8,591,2128.11,23.57,0.976
Guarujá,506.4,1193,63.5,511,1416.67,12.92,0.962
Hortolândia,521.2,1193,63.1,604,1619.28,14.48,0.969
Embu das Artes,503.3,1140,57.7,524,1249.69,11.6,0.958
Presidente Prudente,540.0,1137,76.0,563,2104.17,24.57,0.975
Marília,539.6,1123,73.6,571,2024.26,23.26,0.974
Araçatuba,541.6,1040,76.7,591,2088.68,21.83,0.974
São Vicente,508.1,985,62.2,472,1451.91,13.06,0.968
Bragança Paulista,537.9,941,72.7,560,1941.5,20.05,0.973
Santana de Parnaíba,521.6,914,75.5,628,3465.07,30.24,0.97
Pindamonhangaba,530.6,905,69.2,551,1610.98,19.5,0.974
Sumaré,512.5,894,63.1,570,1586.3,13.22,0.965
Rio Claro,545.1,886,71.7,569,2056.67,22.05,0.974
