Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,GAVIAO PEIXOTO BRIGADEIRO,35000024,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MOGEIRO, 710 RUA. VILA PERUS. 05208-230 São Paulo - SP.",(11) 39170748,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-23.40471,-46.75938
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAO SOLIMEO,35000036,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DO SABAO, 1497 ESTRADA. JARDIM MARISTELA. 02806-000 São Paulo - SP.",(11) 39238001,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.4694686,-46.6983995
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,WALFREDO ARANTES CALDAS PROFESSOR,35000048,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DEPUTADO CANTIDIO SAMPAIO, 1701 VILA SOUZA. 02860-001 São Paulo - SP.",,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Médio,,-23.464,-46.67971
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR,35000059,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"FRANCISCO GIRON, SN ESTRADA. MORRO DOCE. 05267-000 São Paulo - SP.",(11) 39166331,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Médio,,-23.4383462,-46.7924469
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,RENATO DE ARRUDA PENTEADO PROFESSOR,35000097,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"FLORIANO DA COSTA BARROSO, 10 RUA. JARDIM CAROMBE. 02855-220 São Paulo - SP.",(11) 39213350,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-23.4581327,-46.7022058
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARIANO DE OLIVEIRA PROFESSOR,35000139,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ALMIRANTE ISAIAS DE NORONHA, 13 RUA. VILA PEREIRA BARRETO. 02919-100 São Paulo - SP.",(11) 39757083,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-23.49153,-46.71565
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SILVIO XAVIER ANTUNES PROFESSOR,35000140,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"JOSE DA SILVA MARTHA, 150 RUA. PIQUERI. 02913-100 São Paulo - SP.",(11) 39766232,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atividade Complementar,-23.5017077,-46.7131588
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PIO TELLES PEIXOTO PROFESSOR,35000164,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ARTUR ORLANDO, 985 RUA. VILA JAGUARA. 05118-000 São Paulo - SP.",(11) 36251933,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-23.511597,-46.7487375
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ZENAIDE VILALVA DE ARAUJO PROFESSORA,35000176,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"BELO JARDIM, 674 RUA. JARDIM MUTINGA. 05159-200 São Paulo - SP.",(11) 39040216,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-23.5006627,-46.7122546
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR,35000188,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MUTINGA, 5071 AVENIDA. JARDIM SANTO ELIAS. 05110-000 São Paulo - SP.",(11) 36214575,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atividade Complementar,-23.5047429,-46.7581958
